Line,Direction,Station from,Station to,Distance,Un-impeded Running Time,AM peak  Running Time,Inter peak  Running time 
Bakerloo,Southbound,HARROW & WEALDSTONE,KENTON,1.74,2.23,2.50,2.50
Bakerloo,Southbound,KENTON,SOUTH KENTON,1.40,1.88,2.00,2.00
Bakerloo,Southbound,SOUTH KENTON,NORTH WEMBLEY,0.90,1.50,1.50,1.50
Bakerloo,Southbound,NORTH WEMBLEY,WEMBLEY CENTRAL,1.27,1.92,2.06,2.06
Bakerloo,Southbound,WEMBLEY CENTRAL,STONEBRIDGE PARK,1.71,2.23,3.13,3.13
Bakerloo,Southbound,STONEBRIDGE PARK,HARLESDEN,1.53,2.13,2.40,2.40
Bakerloo,Southbound,HARLESDEN,WILLESDEN JUNCTION,1.05,1.65,2.23,2.23
Bakerloo,Southbound,WILLESDEN JUNCTION,KENSAL GREEN,1.50,2.47,2.50,2.50
Bakerloo,Southbound,KENSAL GREEN,QUEENS PARK,1.32,2.65,4.72,4.72
Bakerloo,Southbound,QUEENS PARK,KILBURN PARK,0.79,1.42,1.50,1.50
Bakerloo,Southbound,KILBURN PARK,MAIDA VALE,0.88,1.48,2.00,2.00
Bakerloo,Southbound,MAIDA VALE,WARWICK AVENUE,0.79,1.50,1.50,1.50
Bakerloo,Southbound,WARWICK AVENUE,PADDINGTON,0.88,1.58,2.00,2.00
Bakerloo,Southbound,PADDINGTON,EDGWARE ROAD,0.72,1.57,1.50,1.50
Bakerloo,Southbound,EDGWARE ROAD,MARYLEBONE,0.45,1.12,1.50,1.50
Bakerloo,Southbound,MARYLEBONE,BAKER STREET,0.50,1.17,1.50,1.50
Bakerloo,Southbound,BAKER STREET,REGENTS PARK,0.88,1.68,2.00,2.00
Bakerloo,Southbound,REGENTS PARK,OXFORD CIRCUS,0.87,1.85,2.00,2.00
Bakerloo,Southbound,OXFORD CIRCUS,PICCADILLY CIRCUS,0.97,1.95,2.48,2.48
Bakerloo,Southbound,PICCADILLY CIRCUS,CHARING CROSS,0.55,1.35,1.50,1.50
Bakerloo,Southbound,CHARING CROSS,EMBANKMENT,0.37,0.95,1.50,1.50
Bakerloo,Southbound,EMBANKMENT,WATERLOO,0.71,1.43,1.50,1.50
Bakerloo,Southbound,WATERLOO,LAMBETH NORTH,0.63,1.45,2.00,2.00
Bakerloo,Southbound,LAMBETH NORTH,ELEPHANT & CASTLE,0.82,2.57,2.50,2.50
Central,Eastbound,WEST RUISLIP,RUISLIP GARDENS,2.04,2.28,2.57,2.50
Central,Eastbound,RUISLIP GARDENS,SOUTH RUISLIP,0.86,1.30,1.50,1.50
Central,Eastbound,SOUTH RUISLIP,NORTHOLT,2.28,2.23,2.58,2.50
Central,Eastbound,NORTHOLT,GREENFORD,1.78,1.93,2.00,2.00
Central,Eastbound,GREENFORD,PERIVALE,1.69,1.85,2.33,2.25
Central,Eastbound,PERIVALE,HANGER LANE,2.10,2.10,2.25,2.26
Central,Eastbound,HANGER LANE,NORTH ACTON,2.49,2.85,3.44,3.48
Central,Eastbound,EALING BROADWAY,WEST ACTON,1.53,2.28,2.25,2.25
Central,Eastbound,WEST ACTON,NORTH ACTON,1.77,2.30,2.86,3.26
Central,Eastbound,NORTH ACTON,EAST ACTON,1.11,1.50,1.75,1.75
Central,Eastbound,EAST ACTON,WHITE CITY,2.06,2.57,3.28,3.71
Central,Eastbound,WHITE CITY,SHEPHERDS BUSH,1.16,2.68,2.75,2.75
Central,Eastbound,SHEPHERDS BUSH,HOLLAND PARK,0.87,1.37,1.75,1.75
Central,Eastbound,HOLLAND PARK,NOTTING HILL GATE,0.61,1.08,1.50,1.50
Central,Eastbound,NOTTING HILL GATE,QUEENSWAY,0.69,1.17,1.50,1.50
Central,Eastbound,QUEENSWAY,LANCASTER GATE,0.90,1.35,1.50,1.50
Central,Eastbound,LANCASTER GATE,MARBLE ARCH,1.20,1.92,2.71,2.50
Central,Eastbound,MARBLE ARCH,BOND STREET,0.55,1.00,1.25,1.25
Central,Eastbound,BOND STREET,OXFORD CIRCUS,0.66,1.10,1.50,1.50
Central,Eastbound,OXFORD CIRCUS,TOTTENHAM COURT ROAD,0.58,0.98,1.50,1.50
Central,Eastbound,TOTTENHAM COURT ROAD,HOLBORN,0.88,1.63,2.21,2.01
Central,Eastbound,HOLBORN,CHANCERY LANE,0.40,0.87,1.00,1.00
Central,Eastbound,CHANCERY LANE,ST PAULS,1.03,1.52,2.00,2.00
Central,Eastbound,ST PAULS,BANK,0.74,1.62,2.00,2.00
Central,Eastbound,BANK,LIVERPOOL STREET,0.74,1.62,2.25,2.25
Central,Eastbound,LIVERPOOL STREET,BETHNAL GREEN,2.27,2.60,2.75,2.75
Central,Eastbound,BETHNAL GREEN,MILE END,1.64,1.98,2.25,2.25
Central,Eastbound,MILE END,STRATFORD,2.83,3.18,3.42,3.25
Central,Eastbound,STRATFORD,LEYTON,2.09,2.40,2.75,2.75
Central,Eastbound,LEYTON,LEYTONSTONE,1.62,2.02,2.81,2.76
Central,Eastbound,LEYTONSTONE,WANSTEAD,1.72,2.15,2.25,2.25
Central,Eastbound,WANSTEAD,REDBRIDGE,1.22,1.62,2.00,2.00
Central,Eastbound,REDBRIDGE,GANTS HILL,1.27,1.65,1.75,1.75
Central,Eastbound,GANTS HILL,NEWBURY PARK,2.36,2.68,3.06,2.98
Central,Eastbound,NEWBURY PARK,BARKINGSIDE,1.11,1.55,1.75,1.75
Central,Eastbound,BARKINGSIDE,FAIRLOP,1.22,1.57,1.84,1.79
Central,Eastbound,FAIRLOP,HAINAULT,0.75,2.93,3.89,4.12
Central,Eastbound,LEYTONSTONE,SNARESBROOK,1.57,1.80,2.25,2.25
Central,Eastbound,SNARESBROOK,SOUTH WOODFORD,1.29,1.62,1.75,1.75
Central,Eastbound,SOUTH WOODFORD,WOODFORD,1.80,1.90,2.34,2.26
Central,Inner,RODING VALLEY,WOODFORD,1.33,2.03,2.78,2.22
Central,Inner,CHIGWELL,RODING VALLEY,2.28,2.45,2.77,2.50
Central,Inner,GRANGE HILL,CHIGWELL,1.32,1.63,2.00,2.00
Central,Inner,HAINAULT,GRANGE HILL,1.12,1.73,1.89,1.79
Central,Eastbound,WOODFORD,BUCKHURST HILL,2.31,2.28,2.50,2.50
Central,Eastbound,BUCKHURST HILL,LOUGHTON,1.83,2.35,2.70,2.53
Central,Eastbound,LOUGHTON,DEBDEN,2.02,2.13,2.22,2.25
Central,Eastbound,DEBDEN,THEYDON BOIS,3.34,3.00,3.00,3.00
Central,Eastbound,THEYDON BOIS,EPPING,2.54,2.60,2.76,2.75
Central,Westbound,EPPING,THEYDON BOIS,2.54,2.37,2.50,2.50
Central,Westbound,THEYDON BOIS,DEBDEN,3.34,2.88,3.43,3.25
Central,Westbound,DEBDEN,LOUGHTON,2.02,2.67,2.97,3.40
